1.72	3.25	3.95	50.90%	26.94%	22.16%	87.55%	0.87	0.88	0.88
1.91	3.30	4.33	49.51%	28.65%	21.84%	94.56%	0.97	0.90	0.96
1.80	3.35	4.05	50.46%	27.11%	22.43%	90.83%	0.91	0.91	0.90
1.83	3.40	4.50	51.42%	27.67%	20.91%	94.09%	0.93	0.92	1.00
1.91	3.60	4.50	51.15%	27.14%	21.71%	97.70%	0.97	0.98	1.00
1.90	3.45	3.80	48.76%	26.86%	24.38%	92.65%	0.96	0.94	0.84
1.80	3.50	4.50	52.24%	26.87%	20.90%	94.03%	0.91	0.95	1.00
1.86	3.60	4.40	51.56%	26.64%	21.80%	95.91%	0.94	0.98	0.98
1.87	3.40	4.00	49.57%	27.26%	23.17%	92.69%	0.95	0.92	0.89
1.90	3.60	4.50	51.28%	27.07%	21.65%	97.44%	0.96	0.98	1.00
1.90	3.20	3.50	46.80%	27.79%	25.41%	88.93%	0.96	0.87	0.78
1.91	3.40	4.10	49.32%	27.71%	22.98%	94.20%	0.97	0.92	0.91
2.00	3.30	3.70	46.59%	28.23%	25.18%	93.17%	1.01	0.90	0.82
1.83	3.72	4.85	53.50%	26.32%	20.19%	97.90%	0.93	1.01	1.08
1.83	3.55	4.60	52.27%	26.94%	20.79%	95.65%	0.93	0.96	1.02
1.91	3.50	4.20	49.99%	27.28%	22.73%	95.48%	0.97	0.95	0.93
1.85	3.40	4.60	51.38%	27.96%	20.66%	95.05%	0.94	0.92	1.02
1.85	3.65	4.75	52.73%	26.73%	20.54%	97.56%	0.94	0.99	1.05
1.85	3.60	4.50	51.95%	26.70%	21.36%	96.10%	0.94	0.98	1.00
1.87	3.55	4.20	50.71%	26.71%	22.58%	94.83%	0.95	0.96	0.93
1.84	3.60	4.50	52.08%	26.62%	21.30%	95.83%	0.93	0.98	1.00
1.75	3.25	4.25	51.28%	27.61%	21.11%	89.73%	0.89	0.88	0.94
1.83	3.66	4.58	52.64%	26.32%	21.03%	96.34%	0.93	0.99	1.02
1.95	3.35	4.00	48.32%	28.13%	23.56%	94.22%	0.99	0.91	0.89
1.83	3.66	4.58	52.64%	26.32%	21.03%	96.34%	0.93	0.99	1.02
1.91	3.70	4.70	52.01%	26.85%	21.14%	99.34%	0.97	1.00	1.04
1.87	3.65	4.90	52.80%	27.05%	20.15%	98.73%	0.95	0.99	1.09
1.88	3.72	4.90	52.94%	26.75%	20.31%	99.52%	0.95	1.01	1.09
1.95	3.60	4.00	49.28%	26.69%	24.02%	96.10%	0.99	0.98	0.89
1.81	3.43	4.33	51.40%	27.12%	21.48%	93.03%	0.92	0.93	0.96
1.82	3.50	4.30	51.46%	26.76%	21.78%	93.66%	0.92	0.95	0.95
1.89	3.65	4.80	52.31%	27.09%	20.60%	98.87%	0.96	0.99	1.07
1.90	3.40	4.20	49.72%	27.79%	22.49%	94.47%	0.96	0.92	0.93
1.91	3.30	4.33	49.51%	28.65%	21.84%	94.56%	0.97	0.90	0.96
2.00	3.50	4.00	48.28%	27.59%	24.14%	96.55%	1.01	0.95	0.89
1.86	3.50	4.40	51.17%	27.19%	21.63%	95.18%	0.94	0.95	0.98
1.86	3.60	4.25	51.17%	26.44%	22.39%	95.17%	0.94	0.98	0.94
1.92	3.50	4.10	49.58%	27.20%	23.22%	95.20%	0.97	0.95	0.91
1.85	3.65	4.75	52.73%	26.73%	20.54%	97.56%	0.94	0.99	1.05
1.89	3.55	4.30	50.71%	27.00%	22.29%	95.85%	0.96	0.96	0.95
1.90	3.45	3.80	48.76%	26.86%	24.38%	92.65%	0.96	0.94	0.84
1.91	3.60	4.00	49.80%	26.42%	23.78%	95.12%	0.97	0.98	0.89
1.87	3.55	4.30	50.98%	26.85%	22.17%	95.33%	0.95	0.96	0.95
