3.40	3.05	1.92	25.74%	28.69%	45.57%	87.50%	0.91	0.89	0.85
3.60	3.20	2.15	26.32%	29.61%	44.07%	94.75%	0.96	0.93	0.95
3.10	3.25	2.05	28.85%	27.52%	43.63%	89.44%	0.83	0.95	0.90
3.75	3.25	2.05	25.11%	28.97%	45.93%	94.15%	1.00	0.95	0.90
4.00	3.30	2.10	24.29%	29.44%	46.27%	97.16%	1.07	0.96	0.93
3.60	3.20	1.90	24.88%	27.99%	47.14%	89.56%	0.96	0.93	0.84
3.65	3.15	2.05	25.39%	29.42%	45.20%	92.66%	0.97	0.92	0.90
3.30	3.15	2.08	27.52%	28.83%	43.66%	90.81%	0.88	0.92	0.92
3.30	3.30	2.06	27.76%	27.76%	44.47%	91.62%	0.88	0.96	0.91
3.90	3.40	2.10	24.97%	28.65%	46.38%	97.40%	1.04	0.99	0.93
2.70	3.10	2.15	31.98%	27.86%	40.16%	86.35%	0.72	0.90	0.95
3.40	3.25	2.10	27.28%	28.54%	44.17%	92.76%	0.91	0.95	0.93
3.40	3.25	2.10	27.28%	28.54%	44.17%	92.76%	0.91	0.95	0.93
3.81	3.40	2.13	25.58%	28.66%	45.76%	97.46%	1.02	0.99	0.94
3.70	3.30	2.10	25.75%	28.87%	45.37%	95.28%	0.99	0.96	0.93
3.80	3.25	2.10	25.13%	29.39%	45.48%	95.51%	1.01	0.95	0.93
3.35	3.25	2.11	27.64%	28.49%	43.88%	92.58%	0.89	0.95	0.93
3.70	3.30	2.15	26.03%	29.18%	44.79%	96.30%	0.99	0.96	0.95
3.80	3.30	2.10	25.25%	29.07%	45.68%	95.93%	1.01	0.96	0.93
3.55	3.20	2.06	26.09%	28.95%	44.96%	92.62%	0.95	0.93	0.91
3.30	3.15	2.08	27.52%	28.83%	43.66%	90.81%	0.88	0.92	0.92
3.40	3.05	2.00	26.21%	29.22%	44.56%	89.13%	0.91	0.89	0.88
2.90	3.10	2.40	31.81%	29.76%	38.44%	92.24%	0.77	0.90	1.06
4.00	3.35	2.16	24.72%	29.51%	45.77%	98.87%	1.07	0.98	0.95
3.80	3.25	2.04	24.80%	29.00%	46.20%	94.25%	1.01	0.95	0.90
4.00	3.34	2.16	24.69%	29.57%	45.73%	98.78%	1.07	0.97	0.95
3.30	3.20	2.25	28.59%	29.48%	41.93%	94.34%	0.88	0.93	0.99
3.70	3.11	2.04	24.98%	29.72%	45.30%	92.42%	0.99	0.91	0.90
3.70	3.10	2.08	25.17%	30.05%	44.78%	93.14%	0.99	0.90	0.92
3.50	2.94	2.16	26.24%	31.24%	42.52%	91.84%	0.93	0.86	0.95
